subject,field,value,source,observed,confidence,note
marnixstraat-194,name,1e Hulp,placesdata-2011,2011-07-18,0.7,
marnixstraat-194,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
marnixstraat-194,phone,+31 20 625 4624,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
marnixstraat-194,coordinate,"52.371626,4.875806",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
marnixstraat-194,key_photo,PicturesOriginal/IMG_0201.JPG,photos-2009,2009-10-06,1.0,Apple iPhone 3GS
marnixstraat-194,trading,true,photos-2009,2009-10-06,1.0,"photographed open; presence attested, not a claim about today"
marnixstraat-194,coordinate,"52.3713333,4.8765",photos-2009,2009-10-06,0.9,"own GPS, DOP 3.0, camera bearing 329.9 deg true"
marnixstraat-194,photo_heading,329.9,photos-2009,2009-10-06,1.0,the shopfront lies along this bearing from the fix
oudebrugsteeg-27,name,420 Cafe,placesdata-2011,2011-07-18,0.7,
oudebrugsteeg-27,also_known_as,De Kuil,placesdata-2011,2011-07-18,0.6,
oudebrugsteeg-27,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
oudebrugsteeg-27,phone,+31 20 623 4848,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
oudebrugsteeg-27,coordinate,"52.375824,4.895827",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
oudebrugsteeg-27,key_photo,PicturesOriginal/IMG_0043.JPG,photos-2009,2009-10-04,1.0,Apple iPhone 3GS
oudebrugsteeg-27,trading,true,photos-2009,2009-10-04,1.0,"photographed open; presence attested, not a claim about today"
oudebrugsteeg-27,coordinate,"52.3755,4.897",photos-2009,2009-10-04,0.6,"own GPS, camera bearing 78.9 deg true"
oudebrugsteeg-27,photo_heading,78.9,photos-2009,2009-10-04,1.0,the shopfront lies along this bearing from the fix
jonge-roelensteeg-12,name,Abraxas,placesdata-2011,2011-07-18,0.7,
jonge-roelensteeg-12,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
jonge-roelensteeg-12,phone,+31 20 625 5763,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
jonge-roelensteeg-12,coordinate,"52.37214,4.891135",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
jonge-roelensteeg-12,key_photo,PicturesOriginal/IMG_1203.JPG,photos-2009,2009-10-16,1.0,Apple iPhone 3GS
jonge-roelensteeg-12,trading,true,photos-2009,2009-10-16,1.0,"photographed open; presence attested, not a claim about today"
jonge-roelensteeg-12,coordinate,"52.372,4.8908333",photos-2009,2009-10-16,0.6,"own GPS, DOP 10.0, camera bearing 64.9 deg true"
jonge-roelensteeg-12,photo_heading,64.9,photos-2009,2009-10-16,1.0,the shopfront lies along this bearing from the fix
spuistraat-51,name,Abraxas Too,placesdata-2011,2011-07-18,0.7,
spuistraat-51,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
spuistraat-51,phone,+31 20 622 6241,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
spuistraat-51,coordinate,"52.375945,4.892292",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
spuistraat-51,key_photo,PicturesOriginal/IMG_0332.JPG,photos-2009,2009-10-06,1.0,Apple iPhone 3GS
spuistraat-51,trading,true,photos-2009,2009-10-06,1.0,"photographed open; presence attested, not a claim about today"
spuistraat-51,coordinate,"52.376,4.8925",photos-2009,2009-10-06,0.9,"own GPS, DOP 3.0, camera bearing 87.9 deg true"
spuistraat-51,photo_heading,87.9,photos-2009,2009-10-06,1.0,the shopfront lies along this bearing from the fix
rozengracht-1a,name,African Black Star,placesdata-2011,2011-07-18,0.7,
rozengracht-1a,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
rozengracht-1a,phone,+31 20 626 9469,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
rozengracht-1a,website,http://www.coffeeshopafricanblackstar.nl,placesdata-2011,2011-07-18,0.4,
rozengracht-1a,coordinate,"52.373829,4.882708",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
rozengracht-1a,key_photo,PicturesOriginal/IMG_0216.JPG,photos-2009,2009-10-06,1.0,Apple iPhone 3GS
rozengracht-1a,trading,true,photos-2009,2009-10-06,1.0,"photographed open; presence attested, not a claim about today"
rozengracht-1a,coordinate,"52.3738333,4.8828333",photos-2009,2009-10-06,0.6,"own GPS, camera bearing 88.9 deg true"
rozengracht-1a,photo_heading,88.9,photos-2009,2009-10-06,1.0,the shopfront lies along this bearing from the fix
herengracht-133,name,Amnesia,placesdata-2011,2011-07-18,0.7,
herengracht-133,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
herengracht-133,phone,+31 20 427 7874,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
herengracht-133,website,http://www.abraxasparadise.nl,placesdata-2011,2011-07-18,0.4,
herengracht-133,coordinate,"52.375509,4.889051",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
herengracht-133,key_photo,PicturesOriginal/IMG_0999.JPG,photos-2009,2009-10-15,1.0,Apple iPhone 3GS
herengracht-133,trading,true,photos-2009,2009-10-15,1.0,"photographed open; presence attested, not a claim about today"
herengracht-133,coordinate,"52.3756667,4.889",photos-2009,2009-10-15,0.9,"own GPS, DOP 5.0, camera bearing 64.9 deg true"
herengracht-133,photo_heading,64.9,photos-2009,2009-10-15,1.0,the shopfront lies along this bearing from the fix
halvemaansteeg-1,name,Andalucia,placesdata-2011,2011-07-18,0.7,
halvemaansteeg-1,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
halvemaansteeg-1,phone,+31 20 625 3668,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
halvemaansteeg-1,coordinate,"52.366901,4.895902",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
halvemaansteeg-1,key_photo,PicturesOriginal/IMG_0138.JPG,photos-2009,2009-10-06,1.0,Apple iPhone 3GS
halvemaansteeg-1,trading,true,photos-2009,2009-10-06,1.0,"photographed open; presence attested, not a claim about today"
halvemaansteeg-1,coordinate,"52.367,4.8958333",photos-2009,2009-10-06,0.6,"own GPS, camera bearing 35.9 deg true"
halvemaansteeg-1,photo_heading,35.9,photos-2009,2009-10-06,1.0,the shopfront lies along this bearing from the fix
spuistraat-19,name,Anyday,placesdata-2011,2011-07-18,0.7,
spuistraat-19,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
spuistraat-19,phone,+31 20 420 8698,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
spuistraat-19,coordinate,"52.3768,4.89362",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
spuistraat-19,key_photo,PicturesOriginal/IMG_0336.JPG,photos-2009,2009-10-06,1.0,Apple iPhone 3GS
spuistraat-19,trading,true,photos-2009,2009-10-06,1.0,"photographed open; presence attested, not a claim about today"
