street_raw,number,suffix,postcode,valid_from,source_url
ACHILLESSTRAAT,104,,1076RH,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
ADMIRAAL DE RUIJTERWEG,104,,1056GP,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
AMSTEL,8,H,1017AA,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
AMSTEL,36,H,1017AB,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
AMSTELDIJK,139,,1079LE,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
AMSTELSTRAAT,35,,1017DA,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
AMSTELVEENSEWEG,61,,1075VV,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
AMSTELVEENSEWEG,1160,,1081JW,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
BAARSJESWEG,239,,1058AA,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
BALBOASTRAAT,19,,1057VT,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
BALTHASAR FLORISZSTRAAT,10,,1071VC,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
BARENTSZSTRAAT,130,,1013NS,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
BEURSSTRAAT,27,,1012JV,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
BINNEN ORANJESTRAAT,9,H,1013HZ,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
BONAIRESTRAAT,78,,1058XL,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
BOS EN LOMMERWEG,163,,1055DS,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
BROUWERSGRACHT,137,H,1015GE,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
BROUWERSGRACHT,11,H,1015GA,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
BUIKSLOTERMEERPLEIN,389,,1025XE,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
CHASSESTRAAT,4,,1057JD,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
COENHAVENWEG,26,,1013BL,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
CZAAR PETERSTRAAT,122,H,1018PV,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
DANIEL STALPERTSTRAAT,78,,1072XK,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
DAPPERSTRAAT,2,,1093BT,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
DE CLERCQSTRAAT,30,,1052NE,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
DERDE OOSTERPARKSTRAAT,73,,1091JV,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
EERSTE BLOEMDWARSSTRAAT,2,H,1016KS,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
EERSTE OOSTERPARKSTRAAT,47,,1091GV,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
EERSTE VAN DER HELSTSTRAAT,70,,1072NZ,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
ELANDSGRACHT,3,,1016TM,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
FREDERIK HENDRIKSTRAAT,69,,1052HL,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
FREDERIK HENDRIKSTRAAT,123,,1052HP,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
GELDERSEKADE,54,H,1012BK,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
GELDERSEKADE,2,H,1012BH,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
GERARD DOUSTRAAT,188,,1073XA,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
GERARD DOUSTRAAT,85,,1072VN,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
GILLIS VAN LEDENBERCHSTRAAT,135,,1052VE,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
GOVERT FLINCKSTRAAT,323,,1074CB,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
GRAVENSTRAAT,9,,1012NL,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
HAARLEMMERSTRAAT,102,H,1013EW,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
HAARLEMMERSTRAAT,44,,1013ES,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
HAARLEMMERSTRAAT,64,H,1013ET,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
HAARLEMMERSTRAAT,6,,1013ER,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
HAARLEMMERSTRAAT,63,H,1013EK,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
HALVEMAANSTEEG,1,,1017CR,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
HALVEMAANSTEEG,5,,1017CR,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
HANDBOOGSTRAAT,29,H,1012XM,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
HARINGPAKKERSSTEEG,3,,1012LR,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
HEISTEEG,6,,1012WC,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
HEKELVELD,7,I,1012SN,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
HEMONYSTRAAT,16,,1074BP,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
HERENGRACHT,133,H,1015BG,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
HETTENHEUVELWEG,35,,1101BM,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
HOEKENRODE,14,B,1102BR,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
HOOFDWEG,174,,1057DC,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
HOOFDWEG,226,,1057DG,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
HUDSONSTRAAT,156,,1057ST,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
HUDSONSTRAAT,138,,1057SR,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
HUMBERWEG,2,,1043AC,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
JAN HANZENSTRAAT,109,,1053SN,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
JAN PIETER HEIJESTRAAT,82,,1053GS,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
JAN PIETER HEIJESTRAAT,96,,1053GT,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
JAN VAN GALENSTRAAT,285,,1056CA,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
JAVASTRAAT,104,,1094HN,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
JONGE ROELENSTEEG,12,H,1012PL,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
KERKSTRAAT,51,H,1017GC,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
KERKSTRAAT,39,,1017GB,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
KLOVENIERSBURGWAL,4,H,1012CT,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
KLOVENIERSBURGWAL,60,H,1012CX,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
KLOVENIERSBURGWAL,62,H,1012CX,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
KLOVENIERSBURGWAL,42,A,1012CW,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
KNOLLENDAMSTRAAT,5,,1013TL,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
KORTE KONINGSSTRAAT,2,,1011GA,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
KORTE LEIDSEDWARSSTRAAT,77,,1017PW,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
KORTE LEIDSEDWARSSTRAAT,145,,1017PZ,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
KRUGERPLEIN,22,,1091KZ,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
LANGEBRUGSTEEG,7,A,1012GB,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
LEIDSEPLEIN,17,,1017PS,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
LODEWIJK VAN DEYSSELSTRAAT,37,,1064HL,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
MARNIXSTRAAT,92,H,1015VZ,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
MARNIXSTRAAT,194,H,1016TJ,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
MARNIXSTRAAT,383,O,1016XR,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
MARNIXSTRAAT,333,H,1016TC,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
MARNIXSTRAAT,74,H,1015VX,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
MEER EN VAART,177,B,1068LA,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
MOLUKKENSTRAAT,581,,1095BJ,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
NASSAUKADE,33,,1052CK,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
NIASSTRAAT,1,,1095TS,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
NIEUWE HERENGRACHT,71,,1011RR,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
NIEUWE NIEUWSTRAAT,32,H,1012NH,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
NIEUWEZIJDS VOORBURGWAL,132,,1012SH,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
NIEUWMARKT,14,H,1012CR,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
NIEUWMARKT,4,A,1012CR,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
NIEUWMARKT,12,H,1012CR,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
OOIEVAARSWEG,10,,1021GZ,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
ORTELIUSSTRAAT,193,,1056NP,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
OUDE LELIESTRAAT,2,,1015AW,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
OUDEBRUGSTEEG,26,,1012JP,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
OUDEBRUGSTEEG,27,H,1012JN,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
OUDEZIJDS VOORBURGWAL,250,H,1012GK,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
OUDEZIJDS VOORBURGWAL,189,,1012EW,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
OUDEZIJDS VOORBURGWAL,36,H,1012GD,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
OUDEZIJDS VOORBURGWAL,191,,1012EW,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
OUDEZIJDS VOORBURGWAL,220,,1012GJ,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
OUDEZIJDS VOORBURGWAL,88,H,1012GG,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
OVERTOOM,342,,1054JE,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
OVERTOOM,451,,1054KH,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
PAPAVERWEG,2,,1032KH,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
PIETER VLAMINGSTRAAT,286,,1093AK,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
PRETORIUSSTRAAT,67,,1092GB,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
PRINS HENDRIKKADE,89,,1012AE,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
PRINSENGRACHT,476,H,1017KG,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
PRINSENGRACHT,312,H,1016HX,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
PRINSENGRACHT,480,H,1017KG,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
RAADHUISSTRAAT,8,,1016DE,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
REGULIERSDWARSSTRAAT,29,,1017BJ,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
REGULIERSDWARSSTRAAT,70,H,1017BN,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
REGULIERSDWARSSTRAAT,6,,1017BM,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
REGULIERSGRACHT,27,H,1017LK,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
REGULIERSSTEEG,2,,1017CP,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
REMBRANDTPLEIN,24,,1017CV,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
ROETERSSTRAAT,12,H,1018WD,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
ROSMARIJNSTEEG,9,,1012RP,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
ROZENGRACHT,139,,1016LV,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
ROZENGRACHT,1,H,1016LP,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
RUSLAND,16,,1012CL,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
RUYSDAELKADE,145,,1072AR,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
SARPHATISTRAAT,87,G,1018EZ,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
SINGEL,387,H,1012WN,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
SINGEL,12,H,1013GA,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
SINGEL,14,H,1013GA,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
SINT ANTONIËSBREESTRAAT,71,,1011HB,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
SINT ANTONIËSBREESTRAAT,77,,1011HB,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
SPAARNDAMMERDIJK,9,,1013ZM,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
SPUISTRAAT,118,,1012VA,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
SPUISTRAAT,80,H,1012TX,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
SPUISTRAAT,260,H,1012VW,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
SPUISTRAAT,222,H,1012VT,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
STADIONKADE,107,,1076BN,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
SURINAMESTRAAT,7,,1058GJ,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
THORBECKEPLEIN,28,,1017CS,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
TOLSTRAAT,91,,1074VG,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
TT VASUMWEG,4,C,1033SC,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
TWEEDE JAN VAN DER HEIJDENSTRAAT,43,,1072TJ,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
TWEEDE JAN VAN DER HEIJDENSTRAAT,79,,1074XS,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
TWEEDE LAURIERDWARSSTRAAT,44,H,1016RB,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
TWEEDE NASSAUSTRAAT,1,,1052BJ,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
UTRECHTSESTRAAT,21,,1017VH,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
UTRECHTSESTRAAT,14,H,1017VN,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
VAN BOETZELAERSTRAAT,31,,1051CT,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
VAN DER HELSTPLEIN,8,,1072PH,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
VAN HOGENDORPSTRAAT,201,,1051CA,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
VAN OSTADESTRAAT,290,,1073TW,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
VAN WOUSTRAAT,87,,1074AE,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
VAN WOUSTRAAT,193,,1074AN,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
VAN WOUSTRAAT,147,,1074AJ,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
VECHTSTRAAT,9,,1078RE,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
VECHTSTRAAT,63,,1079JA,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
WATERLANDPLEIN,7,,1024LL,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
WATERLOOPLEIN,345,,1011PG,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
WESTERSTRAAT,121,H,1015LZ,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
WITTE DE WITHSTRAAT,106,,1057ZG,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
WITTE DE WITHSTRAAT,30,,1057XZ,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
WOESTDUINSTRAAT,76,,1058TJ,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
ZEEBURGERDIJK,33,,1093SL,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
ZIESENISKADE,22,,1017RT,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
ZOUTSTEEG,14,,1012LX,2026-03-05,https://lokaleregelgeving.overheid.nl/CVDR756282/2
