subject,field,value,source,observed,confidence,note,license
1e-bloemdwarsstraat-2,coordinate,"52.3745,4.8815",photos-2009,2009-10-16,0.9,"own GPS, DOP 3.0, camera bearing 271.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
1e-bloemdwarsstraat-2,key_photo,PicturesOriginal/IMG_1123.JPG,photos-2009,2009-10-16,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
1e-bloemdwarsstraat-2,trading,true,photos-2009,2009-10-16,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
1e-bloemdwarsstraat-2,photo_heading,271.9,photos-2009,2009-10-16,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
1e-oosterparkstraat-47,coordinate,"52.356,4.909",photos-2009,2009-10-13,0.9,"own GPS, DOP 3.0, camera bearing 32.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
1e-oosterparkstraat-47,key_photo,PicturesOriginal/IMG_0486.JPG,photos-2009,2009-10-13,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
1e-oosterparkstraat-47,trading,true,photos-2009,2009-10-13,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
1e-oosterparkstraat-47,photo_heading,32.9,photos-2009,2009-10-13,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
1e-van-der-helststraat-70,coordinate,"52.3548333,4.8935",photos-2009,2009-10-13,0.9,"own GPS, DOP 3.0, camera bearing 233.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
1e-van-der-helststraat-70,key_photo,PicturesOriginal/IMG_0576.JPG,photos-2009,2009-10-13,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
1e-van-der-helststraat-70,trading,true,photos-2009,2009-10-13,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
1e-van-der-helststraat-70,photo_heading,233.9,photos-2009,2009-10-13,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
2e-jan-van-der-heijdenstraat-43,coordinate,"52.3556667,4.901",photos-2009,2009-10-14,0.9,"own GPS, DOP 3.0, camera bearing 301.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
2e-jan-van-der-heijdenstraat-43,key_photo,PicturesOriginal/IMG_0635.JPG,photos-2009,2009-10-14,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
2e-jan-van-der-heijdenstraat-43,trading,true,photos-2009,2009-10-14,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
2e-jan-van-der-heijdenstraat-43,photo_heading,301.9,photos-2009,2009-10-14,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
2e-jan-van-der-heijdenstraat-79,coordinate,"52.3561667,4.9031667",photos-2009,2009-10-14,0.9,"own GPS, DOP 3.0, camera bearing 299.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
2e-jan-van-der-heijdenstraat-79,key_photo,PicturesOriginal/IMG_0627.JPG,photos-2009,2009-10-14,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
2e-jan-van-der-heijdenstraat-79,trading,true,photos-2009,2009-10-14,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
2e-jan-van-der-heijdenstraat-79,photo_heading,299.9,photos-2009,2009-10-14,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
2e-laurierdwarsstraat-44,coordinate,"52.3716667,4.8791667",photos-2009,2009-10-16,0.9,"own GPS, DOP 3.0, camera bearing 303.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
2e-laurierdwarsstraat-44,key_photo,PicturesOriginal/IMG_1102.JPG,photos-2009,2009-10-16,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
2e-laurierdwarsstraat-44,trading,true,photos-2009,2009-10-16,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
2e-laurierdwarsstraat-44,photo_heading,303.9,photos-2009,2009-10-16,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
2e-nassaustraat-1a,coordinate,"52.3821667,4.8786667",photos-2009,2009-10-15,0.9,"own GPS, DOP 3.0, camera bearing 13.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
2e-nassaustraat-1a,key_photo,PicturesOriginal/IMG_0934.JPG,photos-2009,2009-10-15,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
2e-nassaustraat-1a,trading,true,photos-2009,2009-10-15,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
2e-nassaustraat-1a,photo_heading,13.9,photos-2009,2009-10-15,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
3e-oosterparkstraat-142,coordinate,"52.3571667,4.9193333",photos-2009,2009-10-13,0.6,"own GPS, camera bearing 24.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
3e-oosterparkstraat-142,key_photo,PicturesOriginal/IMG_0502.JPG,photos-2009,2009-10-13,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
3e-oosterparkstraat-142,trading,true,photos-2009,2009-10-13,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
3e-oosterparkstraat-142,photo_heading,24.9,photos-2009,2009-10-13,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
3e-oosterparkstraat-73,coordinate,"52.356,4.9161667",photos-2009,2009-10-13,0.9,"own GPS, DOP 1.0, camera bearing 25.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
3e-oosterparkstraat-73,key_photo,PicturesOriginal/IMG_0493.JPG,photos-2009,2009-10-13,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
3e-oosterparkstraat-73,trading,true,photos-2009,2009-10-13,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
3e-oosterparkstraat-73,photo_heading,25.9,photos-2009,2009-10-13,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
achillesstraat-104,coordinate,"52.3448333,4.8645",photos-2009,2009-10-14,0.9,"own GPS, DOP 1.0, camera bearing 226.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
achillesstraat-104,key_photo,PicturesOriginal/IMG_0648.JPG,photos-2009,2009-10-14,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
achillesstraat-104,trading,true,photos-2009,2009-10-14,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
achillesstraat-104,photo_heading,226.9,photos-2009,2009-10-14,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
admiraal-de-ruijterweg-104,coordinate,"52.3726667,4.8595",photos-2009,2009-10-14,0.9,"own GPS, DOP 3.0, camera bearing 110.9 deg true",CC-BY-4.0 for the images; the readings off them are CC0
admiraal-de-ruijterweg-104,key_photo,PicturesOriginal/IMG_0710.JPG,photos-2009,2009-10-14,1.0,Apple iPhone 3GS,CC-BY-4.0 for the images; the readings off them are CC0
admiraal-de-ruijterweg-104,trading,true,photos-2009,2009-10-14,1.0,"photographed open; presence attested, not a claim about today",CC-BY-4.0 for the images; the readings off them are CC0
admiraal-de-ruijterweg-104,photo_heading,110.9,photos-2009,2009-10-14,1.0,the shopfront lies along this bearing from the fix,CC-BY-4.0 for the images; the readings off them are CC0
